code,date,value,,,,
VIX,17/07/1992,12.6,,,,
VIX,20/07/1992,12.66,,,,
VIX,21/07/1992,12.6,,,,
VIX,22/07/1992,13.57,,,,
VIX,23/07/1992,13.33,,,,
VIX,24/07/1992,13.37,,,,
VIX,27/07/1992,13.9,,,,
VIX,28/07/1992,13.05,,,,
VIX,29/07/1992,13.44,,,,
VIX,30/07/1992,13.5,,,,
VIX,31/07/1992,13.17,,,,
VIX,03/08/1992,13.83,,,,
VIX,04/08/1992,13.58,,,,
VIX,05/08/1992,13.82,,,,
VIX,06/08/1992,14.23,,,,
VIX,07/08/1992,13.94,,,,
VIX,10/08/1992,14.51,,,,
VIX,11/08/1992,15.09,,,,
VIX,12/08/1992,14.88,,,,
VIX,13/08/1992,15.34,,,,
VIX,14/08/1992,14.66,,,,
VIX,17/08/1992,14.61,,,,
VIX,18/08/1992,13.84,,,,
VIX,19/08/1992,14.35,,,,
VIX,20/08/1992,14.48,,,,
VIX,21/08/1992,15.01,,,,
VIX,24/08/1992,16.19,,,,
VIX,25/08/1992,15.62,,,,
VIX,26/08/1992,14.5,,,,
VIX,27/08/1992,13.66,,,,
VIX,28/08/1992,13.14,,,,
VIX,31/08/1992,13.58,,,,
VIX,01/09/1992,13.4,,,,
VIX,02/09/1992,12.73,,,,
VIX,03/09/1992,12.88,,,,
VIX,04/09/1992,12.98,,,,
VIX,07/09/1992,.,,,,
VIX,08/09/1992,13.65,,,,
VIX,09/09/1992,13.36,,,,
VIX,10/09/1992,12.92,,,,
VIX,11/09/1992,12.47,,,,
VIX,14/09/1992,13,,,,
VIX,15/09/1992,13.63,,,,
VIX,16/09/1992,14.72,,,,
VIX,17/09/1992,14.31,,,,
VIX,18/09/1992,13.74,,,,
VIX,21/09/1992,13.45,,,,
VIX,22/09/1992,13.88,,,,
VIX,23/09/1992,13.83,,,,
VIX,24/09/1992,13.44,,,,
VIX,25/09/1992,14.8,,,,
VIX,28/09/1992,15.19,,,,
VIX,29/09/1992,14.97,,,,
VIX,30/09/1992,14.28,,,,
VIX,01/10/1992,16.31,,,,
VIX,02/10/1992,17.79,,,,
VIX,05/10/1992,20.01,,,,
VIX,06/10/1992,19.95,,,,
VIX,07/10/1992,21.02,,,,
VIX,08/10/1992,19.26,,,,
VIX,09/10/1992,20.51,,,,
VIX,12/10/1992,19.49,,,,
VIX,13/10/1992,17.9,,,,
VIX,14/10/1992,18.42,,,,
VIX,15/10/1992,17.11,,,,
VIX,16/10/1992,17.01,,,,
VIX,19/10/1992,17.31,,,,
VIX,20/10/1992,16.87,,,,
VIX,21/10/1992,16.62,,,,
VIX,22/10/1992,15.84,,,,
VIX,23/10/1992,16.46,,,,
VIX,26/10/1992,16.32,,,,
VIX,27/10/1992,16.24,,,,
